,year,public_transit_trips,public_transit_miles,public_transit_hours,red_meat,white_meat,percent_hybrid,percent_plug-in,percent_recycled,MSW_per_capita,residential_electric_per_capita,alt_fuel_stations
0,2002.0,5610450.759892751,2014933.351249664,115276.6057752668,121.119735580474,99.9215440922155,0.0001252845747764522,,,,17.594840782949078,5741.0
1,2003.0,29726761.5866932,11005298.246231155,693903.033919598,118.650310306556,100.657931943513,0.00016407686445444426,,,,17.59102409653858,6230.0
2,2004.0,30474673.441279273,11515915.675684704,754940.1804442218,119.323850207913,102.574130089819,0.00028755968752997084,,,,17.649702199036028,5720.0
3,2005.0,30027254.69643871,11352075.756554307,729899.8033707865,117.221637694262,104.005081975373,0.0007096420326629436,,72.92791550072913,0.8585981324182741,18.397979830567824,5164.0
4,2006.0,27712348.42255953,10509547.113615423,678770.0451484867,116.887421124102,104.780492352794,0.0008466923872542734,,,,18.118110256698515,5091.0
5,2007.0,26366586.26074785,10656686.215834998,687897.0045908183,117.66153640088,103.996140414665,0.001169447227956033,,,,18.4873408019774,5551.0
6,2008.0,26981634.004816256,11128803.870433865,728042.7441477085,113.427881518279,102.540626732296,0.001027267999128927,,,,18.16098837028552,5756.0
7,2009.0,26203721.453383025,11015852.160896653,728349.6683152418,112.704514960386,98.0809881922978,0.0009462123194620189,,,,17.79510839808084,6411.0
8,2010.0,25083574.601017397,10816134.070926437,713043.4637835802,108.6669,100.1473,0.000886475513372886,,70.93009360685123,0.8116030692982132,18.694943273212797,6912.0
9,2011.0,24094868.33343257,10159135.694746861,668521.7836873104,104.1576,100.3348,0.0008548205671308007,5.690673177944481e-05,70.67508036671032,0.8086847445979758,18.2656274716264,10071.0
10,2012.0,25906118.565976553,10746029.617065102,706219.3997253604,104.4327,97.75,0.001385309703901835,0.00016960297134057693,70.55372785286774,0.8037933208008821,17.516758359554082,20498.0
11,2013.0,26377209.32950385,10955460.026734604,717481.6272252626,104.3732,99.2086,0.0015678433326200565,0.0003059630938875922,70.56797275609661,0.8083017062259642,17.65262494594856,27159.0
12,2014.0,27099910.336946066,11307966.906946937,739723.1106767496,101.2737,100.605,0.0014201987590419254,0.00037304668844529646,70.21046534079937,0.8133198620301711,17.679250347174825,33805.0
13,2015.0,26682777.836673666,11356006.809306743,744660.0193099082,105.0019,106.2071,0.001198481001622132,0.0003551850426837342,70.11012460465648,0.8181948399488459,17.510566783859158,39963.0
14,2016.0,26167077.594651118,11516577.189317022,758047.3899224318,106.9546,107.6707,0.0010739052181236181,0.0004939094845497004,,,17.47054559856318,51398.0
15,2017.0,25424625.88257983,11649516.218686996,768295.3208795363,108.4297,108.7256,0.0011400531515086058,0.0006004820199530538,,,16.9602946230608,60053.0
16,2018.0,25029954.04509368,11759722.231159283,778382.3842302086,109.4992,109.9699,,,,,,70562.0
17,2019.0,24632448.7549032,12158748.86250654,805144.8951845067,,,,,,,,
